epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
140,1985.99,0.26984,0.42554,0.80448,0.99671,0.99105,0.99266,0.94811,0.27378,0.34936,0.80829,5.1625e-05,5.1625e-05,5.1625e-05
141,2048.36,0.27519,0.43277,0.79468,0.99527,0.98895,0.99173,0.94702,0.28029,0.35852,0.80955,4.75e-05,4.75e-05,4.75e-05
142,2068.79,0.24924,0.39571,0.78309,0.99331,0.98571,0.99149,0.94724,0.2865,0.36779,0.81025,4.3375e-05,4.3375e-05,4.3375e-05
143,2083.07,0.26971,0.42372,0.79848,0.99227,0.98529,0.99171,0.94411,0.29456,0.37233,0.8123,3.925e-05,3.925e-05,3.925e-05
144,2096.89,0.24684,0.39825,0.79071,0.99264,0.99016,0.99244,0.94617,0.28233,0.36532,0.81011,3.5125e-05,3.5125e-05,3.5125e-05
145,2110.64,0.24343,0.39532,0.78966,0.99431,0.99144,0.99269,0.94662,0.28279,0.36158,0.80997,3.1e-05,3.1e-05,3.1e-05
146,2124.68,0.21934,0.36795,0.78087,0.99551,0.99312,0.99286,0.9465,0.2792,0.35378,0.80963,2.6875e-05,2.6875e-05,2.6875e-05
147,2139.21,0.22516,0.37323,0.77987,0.99606,0.99366,0.9929,0.94671,0.27886,0.35185,0.80972,2.275e-05,2.275e-05,2.275e-05
148,2153.82,0.23057,0.37255,0.78213,0.99624,0.99338,0.99304,0.94795,0.2764,0.35223,0.80916,1.8625e-05,1.8625e-05,1.8625e-05
149,2168.11,0.22258,0.37269,0.78327,0.9959,0.99332,0.99306,0.94775,0.27583,0.35123,0.80903,1.45e-05,1.45e-05,1.45e-05
150,2182.96,0.23261,0.38214,0.78036,0.99614,0.99282,0.99305,0.94787,0.27732,0.35118,0.80936,1.0375e-05,1.0375e-05,1.0375e-05
